OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,SHAPE_Length,SHAPE_Area
10327,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,4774.284109277254174,1063826.537026143865660
10328,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,24045.338406435170327,10691025.234570942819118
10329,Mv/Cv,Mv/Cv,zsbMvM/dsmCv,zsbMvM,/,dsmCv,,,,,,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,7031.511431224284934,2740341.535014827735722
10330,R/Cv,R/Cv,R/dsmCv,R,/,dsmCv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,7796.595049295386161,2549852.530196958687156
10331,Cv/Mv,Cv/Mv,dsmCv/zsbMvM,dsmCv,/,zsbMvM,,,,,,,,,d,s,m,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,21559.844017048362730,8348142.756249748170376
10332,Cv/Mv,Cv/Mv,dsmCv/zsbMvM,dsmCv,/,zsbMvM,,,,,,,,,d,s,m,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,7841.264800354945692,2226582.350986183620989
10333,Gx,Gx,gszFGrmpM//zsdMhM-TE,gszFGrmpM,//,zsdMhM,,,,,TE,,,,g,s,z,F,G,,M,r,m,p,,,z,s,d,M,,,M,h,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,E,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,13762.957901492021847,3612233.804819824639708
10334,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,3313.014894114736308,680097.866397144389339
10335,R/Cv,R/Cv,R/dsmCv,R,/,dsmCv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,5522.477713848630628,1721347.137785188388079
10336,Cv/Mv,Cv/Mv,dsmCv/zsbMvM,dsmCv,/,zsbMvM,,,,,,,,,d,s,m,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Klassen, 1983, Wolf Lake, GSC Map 14-1982",,8186.067547870411545,1446237.285847622435540
