OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,SHAPE_Length,SHAPE_Area
2932,Mh,Mh,szdMhM/gsFGhM-T,szdMhM,/,gsFGhM,,,,,T,,,,s,z,d,M,,,M,h,,,,,g,s,,F,G,,M,h,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,4310.205688496208495,1185790.830412950133905
2933,Mh,Mh,szdMhM/gsFGhM-T,szdMhM,/,gsFGhM,,,,,T,,,,s,z,d,M,,,M,h,,,,,g,s,,F,G,,M,h,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,40871.633477398456307,15728667.241512820124626
2934,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,4566.461378601461547,1143021.221830975962803
2935,Gx,Gx,gszFGhprM-T,gszFGhprM,,,,,,,T,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,3424.883769447619215,293952.033574360480998
2936,R/Mh,R/Mh,R/rCv/szdMhM/gsFGhM-T,R,/,rCv,/,szdMhM,/,gsFGhM,T,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,s,z,d,M,,,M,h,,,,,g,s,,F,G,,M,h,,,T,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,22066.956812067834107,8536798.863392673432827
2937,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,8989.446839892532807,2552155.473767488729209
2938,Mb/R,Mb/R,zsdMbM/R/rCv,zsdMbM,/,R,/,rCv,,,,,,,z,s,d,M,,,M,b,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,11329.511566149038117,7746230.696106553077698
2939,Gr,Gr,sgFGrM-TH,sgFGrM,,,,,,,TH,,,,s,g,,F,G,,M,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,H,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,4800.706150808693565,873335.676099107484333
2940,Mh/Cb,Mh/Cb,szdMhM/gsFGhM/dsmCb-T,szdMhM,/,gsFGhM,/,dsmCb,,,T,,,,s,z,d,M,,,M,h,,,,,g,s,,F,G,,M,h,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,20103.547204213573423,6582785.431767263449728
2941,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,12094.631168600863020,6752899.856933859176934
2942,Cb/Mb,Cb/Mb,dsmCb/zsdMbM,dsmCb,/,zsdMbM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,31244.720923023360228,8558991.817492235451937
2943,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,79207.332105638284702,52347984.789306864142418
2944,Gx,Gx,gszFGhprM-T,gszFGhprM,,,,,,,T,,,,g,s,z,F,G,,M,h,p,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,7728.807133011978294,2046005.988769711228088
2945,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,15249.538882243025000,12079301.357621978968382
2946,Mb/Cb,Mb/Cb,zsdMbM/dsmCb,zsdMbM,/,dsmCb,,,,,,,,,z,s,d,M,,,M,b,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,74660.700431586257764,34710679.011995621025562
2947,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,8388.802605053211664,3323836.373901635874063
2948,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,6017.320935963879492,1971117.598232348682359
2949,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,3739.081169165167012,747618.069632331724279
2950,Cb/Mb,Cb/Mb,dsmCb/zsdMbM,dsmCb,/,zsdMbM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,63266.259997096603911,27215546.141220074146986
2951,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,6692.758214568230869,2362655.222322011366487
2952,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,8578.092002572377169,3803046.582170111592859
2953,Cb/Mb,Cb/Mb,dsmCb/zsdMbM,dsmCb,/,zsdMbM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,117512.805203064010129,49961426.078007243573666
2954,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,5978.854573161538610,745285.014533299719915
2955,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,59676.246770982332237,46600123.961755707859993
2956,Cb/R,CbR,dsmCbv/R,dsmCbv,/,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,8469.529218368259535,3053822.795535613782704
2957,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,36329.581907883330132,20491917.445972979068756
2958,Gt/Mb-c,Gt/Mb-C,zsgFGtdM/czsLGpM/zsdMbM-E,zsgFGtdM,/,czsLGpM,/,zsdMbM,,,E,,,,z,s,g,F,G,,M,t,d,,,,c,z,s,L,G,,M,p,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,14891.149214108605520,8296295.738087947480381
2959,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,16627.895981571706216,12518564.087691066786647
2960,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,7818.553011122142379,2537147.044244091492146
2961,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,31235.082606123603910,8516447.252944156527519
2962,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,6329.538190355578990,2546833.668862442951649
2963,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,16395.916114546256722,3893069.843280036002398
2964,Gr,Gr,sgFGrM-TH,sgFGrM,,,,,,,TH,,,,s,g,,F,G,,M,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,H,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,5597.589022319958531,1252813.568101948825642
2965,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,14116.096525877748718,5584299.410049645230174
2966,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,50333.968464942889113,45232152.352729372680187
2967,Gr,Gr,sgFGrM-TH,sgFGrM,,,,,,,TH,,,,s,g,,F,G,,M,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,H,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,4386.416635482909442,593570.345540218637325
2968,Mv/Cb,Mv/Cb,zsbMvM/dsmCb,zsbMvM,/,dsmCb,,,,,,,,,z,s,b,M,,,M,v,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,36697.169527128040500,14790650.569435382261872
2969,Mh/Cb,Mh/Cb,szdMhM/gsFGhM/dsmCb-T,szdMhM,/,gsFGhM,/,dsmCb,,,T,,,,s,z,d,M,,,M,h,,,,,g,s,,F,G,,M,h,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,31349.764979201339884,15211484.445875223726034
2970,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,8958.959180600468244,3145574.033399186097085
2971,Gh,Gh,zsgFGhdM-TH,zsgFGhdM,,,,,,,TH,,,,z,s,g,F,G,,M,h,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,H,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,21348.203891707737057,12602951.972837205976248
2972,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,14483.664209061331348,3483523.050460807047784
2973,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,103630.704503429107717,71498685.752075180411339
2974,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,14534.362219149359589,13839989.827937746420503
2975,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,13399.822674611141338,2262547.551895550452173
2976,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,12054.335738426694661,5725187.472828608006239
2977,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,71953.752433106186800,44408040.640527911484241
2978,Mb/R,Mb/R,zsdMbM/R/rCv,zsdMbM,/,R,/,rCv,,,,,,,z,s,d,M,,,M,b,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,21183.355712695021793,20722390.849484283477068
2979,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,10655.052155561688778,4484321.500443468801677
2980,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,15191.452625008669202,3992881.952815651893616
2981,Cb/Mb,Cb/Mb,dsmCb/zsdMbM,dsmCb,/,zsdMbM,,,,,,,,,d,s,m,C,,,,b,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,72305.443862856031046,33454047.546001221984625
2982,Mb-c,Mb-C,zsdMbM-E,zsdMbM,,,,,,,E,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,11978.275862887003314,7474160.021498378366232
2983,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,24981.040248933542898,29231418.688277397304773
2984,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,7474.546181054571207,2611559.515815028455108
2985,Mb-c/Gt,Mb/Gt-C,zsdMbM/zsgFGtdM/czsLGpM-E,zsdMbM,/,zsgFGtdM,/,czsLGpM,,,E,,,,z,s,d,M,,,M,b,,,,,z,s,g,F,G,,M,t,d,,,,c,z,s,L,G,,M,p,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,10605.157120555148140,3646957.112584594637156
2986,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,34981.260369675976108,11116361.009024137631059
2987,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,3787.375332300430273,784160.097157363547012
2988,Ap,Ap,gszFp-U,gszFp,,,,,,,U,,,,g,s,z,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,3896.716171024355390,637184.457415129523724
2989,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,19274.739144608425704,9275634.095559488981962
2990,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,34073.585388568695635,24621436.020051509141922
2991,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,50119.611205228684412,33024758.936613004654646
2992,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,7816.372249654714324,1661739.128166768467054
2993,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,3764.850739616968440,716273.449561303714290
2994,Mh-c,Mh-C,szdMhM/gsFGhM-ET,szdMhM,/,gsFGhM,,,,,ET,,,,s,z,d,M,,,M,h,,,,,g,s,,F,G,,M,h,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,T,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,23874.287448242608662,17109253.735295582562685
2995,Mb/Gh,Mb/Gh,zsdMbM/zsgFGhdM-TH,zsdMbM,/,zsgFGhdM,,,,,TH,,,,z,s,d,M,,,M,b,,,,,z,s,g,F,G,,M,h,d,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,H,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,34413.304428245486633,29916830.195990681648254
2996,Mh,Mh,szdMhM/gsFGhM-T,szdMhM,/,gsFGhM,,,,,T,,,,s,z,d,M,,,M,h,,,,,g,s,,F,G,,M,h,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,15043.609065198244934,6810966.113749398849905
2997,Gr,Gr,sgFGrM-TH,sgFGrM,,,,,,,TH,,,,s,g,,F,G,,M,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,H,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,4368.438091212913605,1226992.553205750649795
2998,Mh,Mh,szdMhM/gsFGhM-T,szdMhM,/,gsFGhM,,,,,T,,,,s,z,d,M,,,M,h,,,,,g,s,,F,G,,M,h,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,17548.735347958805505,4875954.055868584662676
2999,Mh,Mh,szdMhM/gsFGhM-T,szdMhM,/,gsFGhM,,,,,T,,,,s,z,d,M,,,M,h,,,,,g,s,,F,G,,M,h,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,12733.760635853406711,4456943.269048799760640
3000,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,7052.147067674558457,2861198.239566188771278
3001,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,35346.057317296246765,21092140.477094087749720
3002,R/Cb,RCb,R/dsmCbv,R,/,dsmCbv,,,,,,,,,,,,R,,,,,,,,,d,s,m,C,,,,b,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,44271.140459017908142,36112884.557685285806656
3003,R/Mv,R/Mv,R/rCv/zsbMvM,R,/,rCv,/,zsbMvM,,,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,z,s,b,M,,,M,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,10221.507921517935756,3302943.298225383739918
3004,Gr,Gr,sgFGrM-TH,sgFGrM,,,,,,,TH,,,,s,g,,F,G,,M,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,H,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,5009.269239803585151,1345315.808114103740081
3005,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,6536.400533462905514,1028855.089748276164755
3006,Mb/Cb,Mb/Cb,zsdMbM/dsmCb,zsdMbM,/,dsmCb,,,,,,,,,z,s,d,M,,,M,b,,,,,d,s,m,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,36198.719186639813415,36357903.558105953037739
3007,Af,Af,gszFf,gszFf,,,,,,,,,,,g,s,z,F,,,,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,4081.371983350411483,781670.619301723432727
3008,Mv/R,Mv/R,zsbMvM/R/rCv,zsbMvM,/,R,/,rCv,,,,,,,z,s,b,M,,,M,v,,,,,,,,R,,,,,,,,,r,,,C,,,,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,6339.045423742301864,2107006.840481624938548
3009,A+Mx,AMx,gszFpft/dsmCa/zsdMpmrM,gszFpft,/,dsmCa,/,zsdMpmrM,,,,,,,g,s,z,F,,,,p,f,t,,,d,s,m,C,,,,a,,,,,z,s,d,M,,,M,p,m,r,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,8146.883565416646888,1629733.265132379485294
3010,Mb,Mb,zsdMbM,zsdMbM,,,,,,,,,,,z,s,d,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morison & Klassen, 1997, Teslin, GSC Map 1891A",,3797.743822903133150,469285.728861510753632
