OBJECTID,LABEL,LABEL_NEW,LABEL_FNL,COMP_A,RELATIONAB,COMP_B,RELATIONBC,COMP_C,RELATIONCD,COMP_D,PROCESS,COMMENTS,PARTCOV_A,BEDROCK_A,TEXTURE1_A,TEXTURE2_A,TEXTURE3_A,MATERIAL_A,QUALIFIERA,SUBTYPE_A,AGE_A,EXPRSN1_A,EXPRSN2_A,EXPRSN3_A,PARTCOV_B,BEDROCK_B,TEXTURE1_B,TEXTURE2_B,TEXTURE3_B,MATERIAL_B,QUALIFIERB,SUBTYPE_B,AGE_B,EXPRSN1_B,EXPRSN2_B,EXPRSN3_B,PARTCOV_C,BEDROCK_C,TEXTURE1_C,TEXTURE2_C,TEXTURE3_C,MATERIAL_C,QUALIFIERC,SUBTYPE_C,AGE_C,EXPRSN1_C,EXPRSN2_C,EXPRSN3_C,PARTCOV_D,BEDROCK_D,TEXTURE1_D,TEXTURE2_D,TEXTURE3_D,MATERIAL_D,QUALIFIERD,SUBTYPE_D,AGE_D,EXPRSN1_D,EXPRSN2_D,EXPRSN3_D,PROCESS_A,PRO_QUAL_A,PROCLASS1A,PROCLASS2A,PROCESS_B,PRO_QUAL_B,PROCLASS1B,PROCLASS2B,PROCESS_C,PRO_QUAL_C,PROCLASS1C,PROCLASS2C,CHECK_FIX,RANDOM_NO,ORIGNL_MAP,LABEL_TST,HAZ_RANK,POLY_NUM,SHAPE_Length,SHAPE_Area
1040,zsEb\pksMb,zsEb\pksMbR,zsEb\pksMbR,zsEb,\,pksMbR,,,,,,Hazard Rank: 2; Landscape Hazards: slope stability,,,z,s,,E,,,,b,,,,,p,k,s,M,,,R,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",E,2,18,3013.834798424965811,237277.487787049030885
1041,zsEb/eOw-X,zsEb/eOw-X,zsEb/eOw-X,zsEb,/,eOw,,,,,X,"Hazard Rank: 3; Landscape Hazards: permafrost, shallow groundwater",,,z,s,,E,,,,b,,,,,e,,,O,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,3,19,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",E,3,19,1981.368303366121154,158287.798293498344719
1042,zsEb/eOw,zsEb/eOw,zsEb/eOw,zsEb,/,eOw,,,,,,"Hazard Rank: 3; Landscape Hazards: shallow groundwater, slope stability",,,z,s,,E,,,,b,,,,,e,,,O,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",E,3,20,6593.490301676998570,334453.235827094351407
1043,gsFp,gsFp,gsFp,gsFp,,,,,,,,Hazard Rank: 3; Landscape Hazards: flooding risk,,,g,s,,F,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",F,3,21,8188.144162194893397,1111717.944894003681839
1044,zsEb\sgFGtp//pkzMb,zsEb\sgFGtpR//pkzMb,zsEb\sgFGtpR//pkzMbM,zsEb,\,sgFGtpR,//,pkzMbM,,,,Hazard Rank: 1; Landscape Hazards: permafrost,,,z,s,,E,,,,b,,,,,s,g,,F,G,,R,t,p,,,,p,k,z,M,,,M,b,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",E,1,22,7664.860736596763672,1454121.933626765618101
1045,gszFGt,gszFGt,gszFGtM,gszFGtM,,,,,,,,Hazard Rank: 1; Landscape Hazards: negligible,,,g,s,z,F,G,,M,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",FG,1,23,1964.891162742514780,54066.678358945879154
1046,zsEv/sgFGt,zsEv/sgFGt,zsEv/sgFGtM,zsEv,/,sgFGtM,,,,,,Hazard Rank: 1; Landscape Hazards: negligible,,,z,s,,E,,,,v,,,,,s,g,,F,G,,M,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",FG,1,24,8023.080726664865324,1820819.925156730692834
1047,gszFGt,gszFGt,gszFGtM,gszFGtM,,,,,,,,Hazard Rank: 1; Landscape Hazards: negligible,,,g,s,z,F,G,,M,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",FG,1,25,746.929071416270062,36664.188982066363678
1048,zsEv/pkzMb-X,zsEv/pkzMbR-X,zsEv/pkzMbR-X,zsEv,/,pkzMbR,,,,,X,Hazard Rank: 1; Landscape Hazards: permafrost,,,z,s,,E,,,,v,,,,,p,k,z,M,,,R,b,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,1,26,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",M,1,26,2526.747772586880728,311856.832381621992681
1049,zsEb\pkzMb-X,zsEb\pkzMbR-X,zsEb\pkzMbR-X,zsEb,\,pkzMbR,,,,,X,Hazard Rank: 2; Landscape Hazards: permafrost,,,z,s,,E,,,,b,,,,,p,k,z,M,,,R,b,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,2,27,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",E,2,27,9099.832338847172650,1772789.650690829847008
1050,eOw\szgCb-X,eOw\szgCb-X,eOw\szgCb-X,eOw,\,szgCb,,,,,X,"Hazard Rank: 3; Landscape Hazards: permafrost, shallow groundwater, slope stability",,,e,,,O,,,,w,,,,,s,z,g,C,,,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,3,28,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",C,3,28,961.554521383929114,41473.624511538466322
1051,zsEv/pkzMb-X,zsEv/pkzMbR-X,zsEv/pkzMbR-X,zsEv,/,pkzMbR,,,,,X,Hazard Rank: 1; Landscape Hazards: permafrost,,,z,s,,E,,,,v,,,,,p,k,z,M,,,R,b,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,1,29,"Kennedy, 2011, Pelly Crossing, YGS Open File 2011-4",M,1,29,26497.778791867152904,9965890.886279910802841
